STARTTESTT,COMPONENTID,外延机台,PROBER_RECORD_SID,WAFERQTY,ELE_YIELD,OPERATORID,STARTTESTTIME,ENDTESTTIME,MACHINENO,UPDATETIME,VF1_MIN,VF1_AVG,VF1_MAX,VF1_STD,VF1_YIELD,VF2_MIN,VF2_AVG,VF2_MAX,VF2_STD,VF2_YIELD,VF3_MIN,VF3_AVG,VF3_MAX,VF3_STD,VF3_YIELD,VF4_MIN,VF4_AVG,VF4_MAX,VF4_STD,VF4_YIELD,VF5_MIN,VF5_AVG,VF5_MAX,VF5_STD,VF5_YIELD,VFM2_MIN,VFM2_AVG,VFM2_MAX,VFM2_STD,VFM2_YIELD,DVF_MIN,DVF_AVG,DVF_MAX,DVF_STD,DVF_YIELD,VF_MIN,VF_AVG,VF_MAX,VF_STD,VF_YIELD,VFD_MIN,VFD_AVG,VFD_MAX,VFD_STD,VFD_YIELD,VZ1_MIN,VZ1_AVG,VZ1_MAX,VZ1_STD,VZ1_YIELD,IR1_MIN,IR1_AVG,IR1_MAX,IR1_STD,IR1_YIELD,IR2_MIN,IR2_AVG,IR2_MAX,IR2_STD,IR2_YIELD,LOP1_MIN,LOP1_AVG,LOP1_MAX,LOP1_STD,LOP1_YIELD,LOP2_MIN,LOP2_AVG,LOP2_MAX,LOP2_STD,LOP2_YIELD,LOP3_MIN,LOP3_AVG,LOP3_MAX,LOP3_STD,LOP3_YIELD,LOP4_MIN,LOP4_AVG,LOP4_MAX,LOP4_STD,LOP4_YIELD,LOP5_MIN,LOP5_AVG,LOP5_MAX,LOP5_STD,LOP5_YIELD,WLP1_MIN,WLP1_AVG,WLP1_MAX,WLP1_STD,WLP1_YIELD,WLD1_MIN,WLD1_AVG,WLD1_MAX,WLD1_STD,WLD1_YIELD,WLC1_MIN,WLC1_AVG,WLC1_MAX,WLC1_STD,WLC1_YIELD,HW1_MIN,HW1_AVG,HW1_MAX,HW1_STD,HW1_YIELD,PURITY1_MIN,PURITY1_AVG,PURITY1_MAX,PURITY1_STD,PURITY1_YIELD,WLP2_MIN,WLP2_AVG,WLP2_MAX,WLP2_STD,WLP2_YIELD,WLD2_MIN,WLD2_AVG,WLD2_MAX,WLD2_STD,WLD2_YIELD,ESD_HBM_YIELD,ESD_MM_YIELD
2018/6/28 0:00,X1A1518618BY-09-03,A15,A2018062900523634920000,580448,84.19979,QZ6277,2018/6/28 17:55,2018/6/29 0:24,ABPRBY24,2018/6/29 0:52,2.82,3.2731,5.009,0.19348,90.34901,,,,,,,,,,,1.538,1.96169,2.709,0.03999,98.10905,,,,,,,,,,,,,,,,,,,,,0,0.04616,10,0.26767,95.47884,14.276,53.46304,84.175,7.15437,98.96856,0,0.00336,5.005,0.04554,99.0068,,,,,98.17917,2.513,3.99454,11.077,0.37601,99.58377,,,,,,,,,,,,,,,,,,,,,482.4,517.02109,524.68,3.08361,,489.69,524.65074,533.15,3.63835,95.94244,,,,,,26.73,29.66139,34.79,0.52533,100,,,,,,,,,,,,,,,,100,
2018/10/4 0:00,X1A1518925AP-02-01,A15,A2018100418032324350000,580144,96.22473,QZ6498,2018/10/4 10:44,2018/10/4 17:52,ABPRBR41,2018/10/4 18:03,2.755,3.15846,4.951,0.05274,99.13384,,,,,,,,,,,1.508,1.93068,2.708,0.05288,99.20899,,,,,,,,,,,,,,,,,,,,,0,0,0,0,100,14.122,54.05703,90,3.77136,99.15211,0,1.00E-05,0.969,0.00135,99.93864,,,,,99.48702,1.387,3.69287,6.209,0.52256,99.03196,,,,,,,,,,,,,,,,,,,,,483.18,514.32543,531.41,3.23185,99.11194,489.26,520.57259,541.03,3.86037,97.94534,,,,,,24.21,27.8904,40.98,0.71089,99.88417,,,,,,,,,,,,,,,,100,
2018/3/20 0:00,X1A1617C11CP-11-03,A16,A2018032023471575510000,151228,94.07583,QZ4294,2018/3/20 20:02,2018/3/20 23:40,ABPRBF27,2018/3/20 23:47,2.776,3.02201,3.581,0.02975,99.21708,,,,,,,,,,,2.143,2.32051,2.475,0.0138,99.22501,,,,,,,,,,,,,,,,,,,,,0,0.00139,0.017,0.00051,99.99206,6.412,47.25289,61.764,2.71035,99.48753,0,0.01299,4.231,0.01539,99.9147,,,,,99.389,1,4.12326,4.56,0.13061,99.06763,,,,,,,,,,,,,,,,,,,,,433.93,466.27267,479.96,1.88878,,440.65,470.46737,482.58,1.73133,94.19155,,,,,,16.31,21.6229,30.15,0.6904,99.227,,,,,,,,,,,,,,,,100,
2018/3/13 0:00,X1A1617C15AP-07-01,A16,A2018031713091958280000,150059,97.56029,QZ4294,2018/3/13 20:14,2018/3/13 23:39,ABPRBF22,2018/3/17 13:09,2.809,3.07205,4.546,0.04288,99.47021,,,,,,,,,,,1.966,2.33578,2.548,0.01263,99.43755,,,,,,,,,,,,,,,,,,,,,0,0.00131,0.043,0.00051,99.99667,18.144,46.65482,60.77,2.46607,99.64414,0,0.00379,0.988,0.00678,99.93136,,,,,99.55484,1,3.96629,4.55,0.15579,99.27895,,,,,,,,,,,,,,,,,,,,,428.75,463.59524,485.05,1.899,,436.29,468.03937,486.52,1.63325,97.63426,,,,,,15.43,22.07568,30,0.45029,99.45955,,,,,,,,,,,,,,,,100,
2018/6/14 0:00,X1A1618604CP-07-01,A16,A2018061415104540790000,585200,96.55725,QZ6360,2018/6/14 8:13,2018/6/14 14:43,ABPRBY24,2018/6/14 15:10,2.725,3.04285,4.759,0.03622,98.94651,,,,,,,,,,,1.526,2.35354,2.688,0.01521,99.0229,,,,,,,,,,,,,,,,,,,,,0,0.00659,0.049,0.00105,99.54204,13.68,51.40834,74.291,5.01126,99.39525,0,0.00078,4.595,0.02033,99.72112,,,,,99.27837,1.25828,3.83824,5.34028,0.1695,99.91524,,,,,,,,,,,,,,,,,,,,,427.51,462.20084,477,2.14878,,433.91,466.24136,479.31,2.00258,98.08339,,,,,,15.84,20.8412,25.78,0.61327,100,,,,,,,,,,,,,,,,100,
2018/6/14 0:00,X1A1618604CP-07-03,A16,A2018061415104540790000,585200,96.55725,QZ6360,2018/6/14 8:13,2018/6/14 14:43,ABPRBY24,2018/6/14 15:10,2.725,3.04285,4.759,0.03622,98.94651,,,,,,,,,,,1.526,2.35354,2.688,0.01521,99.0229,,,,,,,,,,,,,,,,,,,,,0,0.00659,0.049,0.00105,99.54204,13.68,51.40834,74.291,5.01126,99.39525,0,0.00078,4.595,0.02033,99.72112,,,,,99.27837,1.25828,3.83824,5.34028,0.1695,99.91524,,,,,,,,,,,,,,,,,,,,,427.51,462.20084,477,2.14878,,433.91,466.24136,479.31,2.00258,98.08339,,,,,,15.84,20.8412,25.78,0.61327,100,,,,,,,,,,,,,,,,100,
2018/6/30 0:00,X1A1618616CP-01-01,A16,A2018070103172462150000,584159,93.0762,QZ5665,2018/6/30 12:40,2018/6/30 23:58,ABPRBG25,2018/7/1 3:17,2.734,3.03924,5.009,0.14164,96.23442,,,,,,,,,,,1.598,2.33562,2.709,0.02237,98.46977,,,,,,,,,,,,,,,,,,,,,0,0.0013,0.049,0.00143,99.55372,14.749,51.83468,71.243,3.1221,99.18413,0,0.0009,4.961,0.04693,99.47805,,,,,99.08432,2.041,4.02774,6.20464,0.28998,99.80125,,,,,,,,,,,,,,,,,,,,,422.59,463.29188,476.66,2.42094,,430.48,467.88637,479.9,2.31936,97.59192,,,,,,15.83,22.35519,27.84,0.92779,100,,,,,,,,,,,,,,,,100,
2018/7/3 0:00,X1A1618622AP-02-01,A16,A2018070402385626230000,583100,94.19019,QZ6417,2018/7/3 9:12,2018/7/3 23:11,ABPRB F24,2018/7/4 2:38,2.705,3.01225,4.751,0.04715,98.7124,,,,,,,,,,,1.5,2.33438,2.687,0.02576,98.72972,,,,,,,,,,,,,,,,,,,,,0,0.00125,0.044,0.0005,99.99691,5.387,51.96493,71.953,3.77026,99.16001,0,0.00715,4.953,0.02843,99.77568,,,,,98.92746,2.06447,4.08825,5.67398,0.20268,99.92437,,,,,,,,,,,,,,,,,,,,,428,462.76427,484.06,3.06025,,435,467.74214,486.64,3.00518,95.45755,,,,,,15.56,22.2317,28.7,1.02042,100,,,,,,,,,,,,,,,,100,
2018/7/8 0:00,X1A1618625BP-13,A16,A2018070822494543930000,583245,96.32007,QZ6315,2018/7/8 12:39,2018/7/8 22:25,ABPRBO23,2018/7/8 22:49,2.731,3.04366,4.457,0.0317,98.53938,,,,,,,,,,,1.568,2.33448,2.709,0.0241,98.48606,,,,,,,,,,,,,,,,,,,,,0,0.00121,0.049,0.00055,,5.029,51.87777,79.176,4.11599,98.76501,0,0.00127,4.973,0.05547,99.78722,,,,,98.62031,3.48297,4.23375,5.25149,0.15056,100,,,,,,,,,,,,,,,,,,,,,434.26,462.80968,472.81,2.22216,,440.95,468.00847,476.95,2.11814,97.88288,,,,,,16.76,22.50598,24.19,0.98314,100,,,,,,,,,,,,,,,,100,
2018/7/8 0:00,X1A1618625BP-13-02,A16,A2018070822494543930000,583245,96.32007,QZ6315,2018/7/8 12:39,2018/7/8 22:25,ABPRBO23,2018/7/8 22:49,2.731,3.04366,4.457,0.0317,98.53938,,,,,,,,,,,1.568,2.33448,2.709,0.0241,98.48606,,,,,,,,,,,,,,,,,,,,,0,0.00121,0.049,0.00055,,5.029,51.87777,79.176,4.11599,98.76501,0,0.00127,4.973,0.05547,99.78722,,,,,98.62031,3.48297,4.23375,5.25149,0.15056,100,,,,,,,,,,,,,,,,,,,,,434.26,462.80968,472.81,2.22216,,440.95,468.00847,476.95,2.11814,97.88288,,,,,,16.76,22.50598,24.19,0.98314,100,,,,,,,,,,,,,,,,100,
